IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;BESOIN_RES_NUM;DATE_DECLARATION_OPERATEUR
@ction telecom;CTIO;45181786000039;Agen;LIEU DIT LA TUQUE   47240 CASTELCULIER   ;0;09/11/2018 00:00
+2 COM;2COM;51022470200017;Paris; 49 RUE DE PONTHIEU  75008 PARIS   ;0;10/01/2018 00:00
118 218 Le numéro;LNUM;47834308000063;Paris; 25 RUE DE LA CLEF  75005 PARIS   ;1;09/11/2004 00:00
118000;TLGT;45346537900056;Paris; 137 BOULEVARD DE SEBASTOPOL  75002 PARIS   ;1;15/07/2004 00:00
17-Numerique;17N;49510596700022;La Rochelle; ZONE INDUSTRIELLE DES QUATRE CHEVALIER  17180 PERIGNY   ;1;18/04/2007 00:00
1focom;1FCM;84004010900018;Créteil; 5 AVENUE DU GENERAL DE GAULLE  94160 SAINT MANDE   ;0;05/04/2022 00:00
2 F IMAGE;2FIM;40156309300046;DIJON; 4 ALLEE DU FOUR BANAL  21121 HAUTEVILLE-LES-DIJON   ;0;21/06/2013 00:00
2C communication;2CIO;84374602500017;Paris; 128 RUE DE LA BOETIE  75008 PARIS   ;1;06/12/2018 00:00
440HZ;440H;79013939800016;PARIS; 21 RUE JEAN MERMOZ  75008 PARIS   ;1;15/01/2013 00:00
4call;4CLL;883972978;Aubenas; 277 ROUTE DE BANNE  07460 SAINT PAUL LE JEUNE   ;1;21/06/2020 00:00
512IT;512T;88241230700010;Avignon; 652 CHEMIN DE LA PEYRIERE  84120 PERTUIS   ;0;30/03/2020 00:00
6 COM;6COM;44025631100042;Bobigny; 78/80 RUE DU DOCTEUR BAUER  93400 SAINT OUEN   ;1;10/11/2004 00:00
8x8 UK Limited;VOIC; ;05083841 Register of companies for England and Wales;OXFORD HOUSE, BELL BUSINESS PARK SMEATON CLOSE, AYLESBURY  HP198JR BUCKINGHAMSHIRE   ROYAUME-UNI;1;07/06/2016 00:00
A.B solutions;ABNS;83786533600015;Paris; 26 TER RUE NICOLAI  75012 PARIS   ;0;07/10/2018 00:00
A.J. Phone;AJPH;41952370900048;Rouen;Z.A. LES PORTES DE L OUEST 9 RUE PIERRE GASSENDI  76150 LA VAUPALIERE   ;0;01/10/2014 00:00
A.M.I Audit management intégration;AMIA;84392561100017;Versailles; 41 BOULEVARD VAUBAN  78280 GUYANCOURT   ;0;20/12/2019 00:00
A.S.T.R.;ASTT;50431049100064;Le Mans; 152 ETIENNE FALCONET  72100 LE MANS   ;0;30/03/2023 00:00
A2S Opérateur;A2SO;91001223600014;Nîmes; 42 ROUTE DE NIMES  30420 CALVISSON   ;0;16/02/2022 00:00
A6telecom France;A6TE;50299024500032;Marseille;LES DOCKS ATRIUM 10.1 10 PLACE DE LA JOLIETTE  13002 MARSEILLE   ;1;30/10/2015 00:00
A6tmoi;A6TM;92178967300016;PARIS; 6 RUE JADIN  75017 PARIS   ;0;24/03/2023 00:00
Aamset;AAMS;44339961300043;PARIS; 05 RUE AMBROISE THOMAS  75009 PARIS   ;0;19/07/2023 00:00
AB plus;ABPL;40822120800023;Nanterre; 183 AVENUE ACHILLE PERETTI  92200 NEUILLY SUR SEINE   ;1;16/02/2012 00:00
Aba electronique;ABAE;34365787000014;Evry; 52 CHEMIN DES SABLONS  91360 EPINAY SUR ORGE   ;0;25/07/2022 00:00
Abaclouda;ABCL;91858510000012;Paris; 46 BOULEVARD DE LA BASTILLE  75012 PARIS   ;1;26/08/2022 00:00
ABC Telecoms;ABCT;50500249300045;Evreux; 50 RUE DU BOUT DES JARDINS  27100 LE VAUDREUIL   ;0;29/01/2018 00:00
ABEILLE;ABEI;41804830200040;Clermont Ferrand; 5 AVENUE MARECHAL LECLERC  63800 COURNON D AUVERGNE   ;0;15/06/2011 00:00
ABH telecom;ABHT;81445031800021;Paris; 41 BOULEVARD DES CAPUCINES  75002 PARIS   ;1;26/11/2020 00:00
Ablogix;ABGX;49458639900011;LE MANS;LIEU DIT BELLA VISTA 2830 ROUTE DE PREVELLES  72110 SAINT CELERIN   ;0;11/09/2015 00:00
AB-secure;ABSC;81328078100010;VIENNE ; 135 AVENUE DES CEDRES  38280 VILLETTE D ATNHON   ;0;21/10/2021 00:00
Absys;ABSS;39809793100032;Béziers;ZAC DE MERCORENT 229 RUE ALPHONSE BEAU DE ROCHAS  34500 BEZIERS   ;0;28/12/2022 00:00
AC Conseil;ACIL;49757884900018;PARIS; 1 RUE JEAN MOREAS  75017 PARIS   ;0;03/07/2013 00:00
Access'operateur;ACOP;87833915900013;BORDEAUX;CENTRE SAPHIR 75 PASSAGE DU PARC  33240 SAINT ANDRE DE CUBZAC   ;0;07/11/2019 00:00
Ace immovation;ACIM;83280468600018;Bordeaux; 2 QUAI SAINTE-CROIX  33800 BORDEAUX   ;0;10/12/2017 00:00
ACN COMMUNICATIONS FRANCE;ACNC;45136488900035;Paris;PARIS LA DEFENSE - TOUR EGEE 9/11 ALLEE DE L'ARCHE  92671 COURBEVOIE  CEDEX ;1;10/03/2006 00:00
Acor telecoms Ouest;ACTO;75198322200025;Nantes;IMMEUBLE ASTURIA C 4 RUE EDITH PIAF  44800 SAINT-HERBLAIN   ;0;27/03/2017 00:00
Acrib;ACRI;84396028700012;Bordeaux; 68B AVENUE JEAN JAURES  33150 CENON   ;0;11/04/2019 00:00
ACRT;ACRT;41996162800031;Villefranche-Tarare; 103 RUE RONSARD  69400 VILLEFRANCHE-SUR-SAONE   ;0;18/07/2018 00:00
Act service;ACTS;33190075300038;La Rochelle;LES MINIMES 18 RUE DE LA BONETTE  17000 LA ROCHELLE   ;0;25/10/2018 00:00
ACTEA TELECOM;ACTE;50035520100012;Marseille;PARC D ACTIVITE DE NAPOLLON 230 AVENUE DE PASSE TEMPS  13400 AUBAGNE   ;0;24/09/2009 00:00
