DOMAINE;MARQUE SENSIBLE;OADC INTERDIT;TYPE D'INTERDICTION;commentaires; mise à jour
Autres ;APPLE;apple;Interdit sauf autorisation;;15/10/2022
Autres ;APPLE;apple sav;Interdit sauf autorisation;;15/10/2022
Autres ;APPLE;apple.inc;Strictement interdit;;15/10/2022
Autres ;APPLE;applecare;Interdit sauf autorisation;;15/10/2022
Autres ;APPLE;applefr;Strictement interdit;;15/10/2022
Autres ;APPLE;appleicloud;Interdit sauf autorisation;;15/10/2022
Autres ;APPLE;applepay;Interdit sauf autorisation;;15/10/2022
Autres ;APPLE;applestore;Interdit sauf autorisation;;15/10/2022
Autres ;CLICKTOP;clicktop;Interdit sauf autorisation;;19/12/2022
Autres ;GOOGLE;google;Interdit sauf autorisation;;15/10/2022
Autres ;NETFLIX;nelfllx;Strictement interdit;;31/01/2023
Autres ;NETFLIX;netflix;Interdit sauf autorisation;;15/10/2022
Autres ;NETFLIX;netflix3417;Strictement interdit;;19/12/2022
Autres ;NETFLIX;netflixfr;Strictement interdit;;15/10/2022
Autres ;NETFLIX;netflixsms;Strictement interdit;;15/10/2022
Autres ;NETFLIX;netflx;Strictement interdit;;19/12/2022
Autres ;NETFLIX;ntflx;Strictement interdit;;19/12/2022
BANQUE;QONTO;qonto;Interdit sauf autorisation;Orange propose le changement de statut 17/07;27/06/2023
BANQUE;BANQUE POPULAIRE;banque p;Strictement interdit;;19/12/2022
BANQUE;BNP PARIBAS;bnp paribas;Interdit sauf autorisation;;15/10/2022
BANQUE;BNP PARIBAS;bnpp;Interdit sauf autorisation;update du 07/02/2023;31/01/2023
BANQUE;BNP PARIBAS;bnpparibas;Interdit sauf autorisation;;15/10/2022
BANQUE;BOURSORAMA;bourso bank;Strictement interdit;;27/06/2023
BANQUE;BOURSORAMA;boursorama;Interdit sauf autorisation;;15/10/2022
BANQUE;BANQUE POPULAIRE;bp nord;Interdit sauf autorisation;;15/10/2022
BANQUE;BANQUE POPULAIRE;bp paca;Interdit sauf autorisation;;15/10/2022
BANQUE;BANQUE POPULAIRE;bpaca;Interdit sauf autorisation;demande  mais déjà pris en compte;19/12/2022
BANQUE;BRED;bred;Interdit sauf autorisation;;15/10/2022
BANQUE;CAISSE EPARGNE;c epargne;Interdit sauf autorisation;demande  changement de statut;19/12/2022
BANQUE;Crédit Agricole;c.agricole;Interdit sauf autorisation;;06/03/2023
BANQUE;CREDIT AGRICOLE;ca;Interdit sauf autorisation;;15/10/2022
BANQUE;CREDIT DU NORD;cdn;Interdit sauf autorisation;;15/10/2022
BANQUE;CAISSE EPARGNE;cepargne;Interdit sauf autorisation;;19/12/2022
BANQUE;CERTICODEFR;certicodefr;Strictement interdit;;19/12/2022
BANQUE;CREDIT INDUSTRIEL ET COMMERCIAL;cic;Interdit sauf autorisation;demande  mais déjà pris en compte;19/12/2022
BANQUE;CREDIT AGRICOLE;cr agricole;Interdit sauf autorisation;demande  mais déjà pris en compte;19/12/2022
BANQUE;CREDIT MUTUEL;cred mutuel;Interdit sauf autorisation;demande  mais déjà pris en compte;19/12/2022
BANQUE;CREDIT MUTUEL;credit mut;Interdit sauf autorisation;;15/10/2022
BANQUE;Infosms;infosms;Interdit sauf autorisation;;19/12/2022
BANQUE;LA BANQUE POSTALE;la poste;Interdit sauf autorisation;input du 19/12/2022;14/03/2023
BANQUE;LA BANQUE POSTALE;la-postale;Strictement interdit;;19/12/2022
BANQUE;LA BANQUE POSTALE;laposte;Interdit sauf autorisation;imput du 19/12/2022;14/03/2023
BANQUE;LA BANQUE POSTALE;lbp;Interdit sauf autorisation;;15/10/2022
